pm2.5,pm10,no,no2,co,nox,ozone,timestamp,benzene,eth_benzene,toluene,mp_xylene
12.04,28.47,6.75,19.16,1.41,15.68,17.96,2024-08-05 16:45:00,1.98,0.6,3.42,0.98
12.04,28.47,5.04,14.3,1.11,11.7,17.39,2024-08-05 17:00:00,1.61,0.48,2.77,0.8
11.92,28.34,5.97,16.93,1.23,13.85,19.48,2024-08-05 17:15:00,1.77,0.53,3.05,0.88
11.46,26.62,6.39,18.13,1.3,14.83,15.19,2024-08-05 17:30:00,1.9,0.57,3.27,0.94
11.46,26.62,6.26,17.75,1.28,14.52,16.8,2024-08-05 17:45:00,1.87,0.56,3.22,0.93
11.46,26.62,6.69,18.99,1.36,15.54,16.15,2024-08-05 18:00:00,1.94,0.59,3.34,0.96
11.52,26.85,6.84,19.42,1.42,15.89,14.06,2024-08-05 18:15:00,2.06,0.62,3.55,1.02
11.87,27.94,7.11,20.19,1.51,16.52,7.73,2024-08-05 18:30:00,2.11,0.64,3.63,1.05
11.87,27.94,7.4,21.01,1.52,17.19,8.92,2024-08-05 18:45:00,2.11,0.64,3.63,1.05
11.87,27.94,5.88,16.69,1.15,13.65,7.95,2024-08-05 19:00:00,1.27,0.38,2.19,0.63
12.12,29.33,6.57,18.63,1.35,15.24,7.21,2024-08-05 19:15:00,1.93,0.58,3.32,0.96
14.03,34.92,7.5,21.29,1.46,17.42,4.87,2024-08-05 19:30:00,2.12,0.64,3.65,1.05
14.03,34.92,8.06,22.86,1.67,18.7,3.18,2024-08-05 19:45:00,2.29,0.69,3.95,1.14
14.03,34.92,7.76,22.02,1.56,18.02,2.06,2024-08-05 20:00:00,2.19,0.66,3.77,1.09
14.65,37.35,7.66,21.74,1.57,17.79,0.14,2024-08-05 20:15:00,2.2,0.66,3.78,1.09
17.16,45.01,8.03,22.78,1.65,18.64,,2024-08-05 20:30:00,2.26,0.68,3.89,1.12
17.16,45.01,9.1,25.81,1.87,21.12,,2024-08-05 20:45:00,2.53,0.76,4.36,1.26
17.16,45.01,5.1,14.47,1.38,11.84,0.02,2024-08-05 21:00:00,2.02,0.61,3.48,1.0
16.32,41.21,7.75,22.0,1.59,18.0,0.14,2024-08-05 21:15:00,2.21,0.67,3.82,1.1
12.21,29.04,7.83,22.22,1.61,18.18,,2024-08-05 21:30:00,2.21,0.67,3.81,1.1
11.37,26.32,129.27,366.8,,300.09,,2024-08-06 10:15:00,31.54,9.57,54.43,15.65
11.37,26.32,6.08,17.25,1.22,14.11,,2024-08-06 10:30:00,1.75,0.53,3.01,0.87
11.37,26.32,5.71,16.22,1.16,13.27,,2024-08-06 10:45:00,1.71,0.51,2.94,0.85
11.37,26.32,5.13,14.57,0.87,11.92,,2024-08-06 11:00:00,1.63,0.49,2.81,0.81
10.91,24.65,7.23,20.51,1.29,16.78,,2024-08-06 11:15:00,1.93,0.58,3.32,0.96
9.35,19.82,8.42,23.9,1.77,19.55,,2024-08-06 11:30:00,2.57,0.78,4.43,1.28
9.35,19.82,9.1,25.82,1.85,21.12,,2024-08-06 11:45:00,2.54,0.77,4.38,1.26
9.35,19.82,8.77,24.88,1.75,20.35,,2024-08-06 12:00:00,2.49,0.75,4.3,1.24
9.46,20.08,8.32,23.6,1.71,19.31,,2024-08-06 12:15:00,2.41,0.73,4.16,1.2
9.64,20.74,8.37,23.76,1.65,19.44,,2024-08-06 12:30:00,2.27,0.69,3.92,1.13
9.64,20.74,8.84,25.07,1.65,20.51,,2024-08-06 12:45:00,2.4,0.72,4.14,1.19
9.64,20.74,5.48,15.56,1.13,12.73,,2024-08-06 13:00:00,1.73,0.52,2.99,0.86
9.64,20.74,4.97,14.1,1.03,11.54,,2024-08-06 13:15:00,1.56,0.47,2.68,0.77
9.64,20.74,5.17,14.66,1.04,12.0,,2024-08-06 13:30:00,1.53,0.46,2.63,0.76
9.64,20.74,5.79,16.42,1.19,13.43,,2024-08-06 13:45:00,1.73,0.52,2.99,0.86
9.64,20.74,5.98,16.97,1.22,13.88,,2024-08-06 14:00:00,1.74,0.53,3.0,0.87
9.94,21.7,5.51,15.63,1.15,12.78,,2024-08-06 14:15:00,1.69,0.51,2.91,0.84
10.84,24.62,5.61,15.91,1.14,13.02,,2024-08-06 14:30:00,1.66,0.5,2.85,0.82
10.84,24.62,5.77,16.39,1.22,13.41,,2024-08-06 14:45:00,1.76,0.53,3.04,0.88
10.84,24.62,3.97,11.25,0.81,9.21,,2024-08-06 15:00:00,1.29,0.39,2.21,0.64
11.49,26.46,5.05,14.34,1.05,11.73,,2024-08-06 15:15:00,1.55,0.47,2.67,0.77
13.12,31.96,5.06,14.37,1.01,11.76,,2024-08-06 15:30:00,1.53,0.46,2.64,0.76
13.12,31.96,5.27,14.95,1.05,12.23,,2024-08-06 15:45:00,1.58,0.47,2.72,0.78
13.12,31.96,5.09,14.43,1.07,11.81,,2024-08-06 16:00:00,1.58,0.47,2.71,0.78
13.2,32.38,5.51,15.63,1.15,12.79,,2024-08-06 16:15:00,1.7,0.51,2.92,0.84
13.68,33.79,5.25,14.91,1.11,12.2,,2024-08-06 16:30:00,1.64,0.5,2.83,0.82
13.68,33.79,5.26,14.93,1.12,12.22,,2024-08-06 16:45:00,1.66,0.5,2.86,0.82
13.68,33.79,7.29,20.7,1.36,16.93,,2024-08-06 17:00:00,1.81,0.55,3.12,0.9
13.86,34.33,8.7,24.7,1.56,20.2,,2024-08-06 17:15:00,1.99,0.6,3.42,0.99
14.31,35.81,5.77,16.36,1.19,13.39,,2024-08-06 17:30:00,1.74,0.53,3.0,0.87
14.31,35.81,6.17,17.52,1.27,14.33,,2024-08-06 17:45:00,1.85,0.56,3.19,0.92
14.31,35.81,6.43,18.26,1.3,14.94,,2024-08-06 18:00:00,1.88,0.57,3.24,0.94
14.72,37.08,6.27,17.8,1.32,14.56,,2024-08-06 18:15:00,1.88,0.57,3.24,0.93
16.16,41.78,6.29,17.85,1.27,14.6,,2024-08-06 18:30:00,1.85,0.56,3.19,0.92
16.16,41.78,5.11,14.49,1.1,11.86,,2024-08-06 18:45:00,1.57,0.47,2.7,0.78
16.16,41.78,6.05,17.18,1.24,14.05,,2024-08-06 19:00:00,1.81,0.55,3.12,0.9
16.25,42.18,4.98,14.14,1.09,11.57,,2024-08-06 19:15:00,1.58,0.47,2.71,0.78
16.79,43.81,3.59,10.2,0.74,8.34,,2024-08-06 19:30:00,1.27,0.38,2.18,0.63
16.79,43.81,3.03,8.59,0.55,7.03,,2024-08-06 19:45:00,0.99,0.3,1.7,0.49
16.79,43.81,2.43,6.9,0.51,5.65,,2024-08-06 20:00:00,0.98,0.29,1.68,0.49
17.42,45.35,2.58,7.31,0.51,5.98,,2024-08-06 20:15:00,0.95,0.28,1.63,0.47
19.77,53.43,2.79,7.93,0.58,6.49,,2024-08-06 20:30:00,0.98,0.29,1.69,0.49
19.77,53.43,3.31,9.39,0.68,7.68,,2024-08-06 20:45:00,1.14,0.34,1.96,0.57
19.77,53.43,5.76,16.35,1.29,13.37,,2024-08-06 21:00:00,1.77,0.53,3.04,0.88
20.01,54.16,6.89,19.56,1.41,16.0,,2024-08-06 21:15:00,1.99,0.6,3.43,0.99
20.98,57.31,6.33,17.97,1.3,14.7,,2024-08-06 21:30:00,1.88,0.57,3.23,0.93
20.98,57.31,6.69,18.98,1.4,15.53,,2024-08-06 21:45:00,2.03,0.61,3.5,1.01
20.98,57.31,7.14,20.25,1.45,16.57,,2024-08-06 22:00:00,2.05,0.62,3.54,1.02
19.56,52.9,7.01,19.88,1.41,16.27,,2024-08-06 22:15:00,2.03,0.61,3.49,1.01
14.14,35.25,7.46,21.17,1.53,17.32,,2024-08-06 22:30:00,2.13,0.64,3.66,1.06
14.14,35.25,7.72,21.92,1.58,17.93,,2024-08-06 22:45:00,2.2,0.66,3.79,1.09
14.14,35.25,6.61,18.76,1.38,15.35,,2024-08-06 23:00:00,2.08,0.63,3.59,1.03
13.54,33.35,6.72,19.06,1.42,15.59,,2024-08-06 23:15:00,2.03,0.61,3.5,1.01
11.66,27.26,6.72,19.07,1.37,15.6,,2024-08-06 23:30:00,1.95,0.59,3.36,0.97
11.66,27.26,5.42,15.39,1.1,12.59,,2024-08-07 00:00:00,1.65,0.5,2.84,0.82
11.57,27.02,4.53,12.84,0.96,10.51,,2024-08-07 00:15:00,1.46,0.44,2.52,0.73
11.32,26.15,5.27,14.97,1.06,12.24,,2024-08-07 00:30:00,1.59,0.48,2.74,0.79
11.32,26.15,5.05,14.34,1.05,11.74,,2024-08-07 00:45:00,1.59,0.48,2.73,0.79
11.32,26.15,3.97,11.25,0.75,9.21,,2024-08-07 01:00:00,1.17,0.35,2.02,0.58
10.64,24.31,4.89,13.88,0.97,11.36,,2024-08-07 01:15:00,1.52,0.46,2.61,0.75
8.56,17.27,5.21,14.77,1.06,12.08,,2024-08-07 01:30:00,1.6,0.48,2.75,0.79
8.56,17.27,4.93,14.0,1.02,11.45,,2024-08-07 01:45:00,1.55,0.47,2.66,0.77
8.56,17.27,4.91,13.92,1.01,11.39,,2024-08-07 02:00:00,1.52,0.46,2.63,0.76
8.5,17.1,4.85,13.75,0.97,11.25,,2024-08-07 02:15:00,1.48,0.45,2.56,0.74
8.29,16.39,4.63,13.15,0.95,10.75,,2024-08-07 02:30:00,1.47,0.44,2.54,0.73
8.29,16.39,4.96,14.09,0.95,11.52,,2024-08-07 02:45:00,1.49,0.45,2.56,0.74
8.29,16.39,4.08,11.57,1.1,9.47,,2024-08-07 03:00:00,1.57,0.47,2.7,0.78
8.09,15.77,5.67,16.09,1.17,13.16,,2024-08-07 03:15:00,1.73,0.52,2.98,0.86
7.43,13.62,10.57,30.0,1.92,24.55,,2024-08-07 03:30:00,2.61,0.79,4.51,1.3
7.43,13.62,,,2.32,,,2024-08-07 03:45:00,3.09,0.93,5.33,1.54
7.43,13.62,10.88,30.87,2.24,25.26,,2024-08-07 04:00:00,2.99,0.91,5.16,1.49
7.6,14.32,11.16,31.66,2.28,25.9,,2024-08-07 04:15:00,3.03,0.92,5.22,1.5
8.43,16.85,11.15,31.65,2.29,25.9,,2024-08-07 04:30:00,3.03,0.92,5.22,1.5
8.43,16.85,11.38,32.3,2.33,26.43,,2024-08-07 04:45:00,3.11,0.94,5.36,1.54
8.43,16.85,,,1.24,,,2024-08-07 05:00:00,1.72,0.52,2.95,0.85
8.2,16.16,5.7,16.17,1.09,13.23,,2024-08-07 05:15:00,1.61,0.48,2.77,0.8
7.4,13.53,5.03,14.26,1.02,11.67,,2024-08-07 05:30:00,1.54,0.46,2.65,0.76
7.4,13.53,5.14,14.58,1.07,11.92,,2024-08-07 05:45:00,1.6,0.48,2.76,0.8
7.4,13.53,5.04,14.29,1.07,11.69,,2024-08-07 06:00:00,1.62,0.49,2.79,0.81
7.52,13.94,5.92,16.79,1.18,13.74,,2024-08-07 06:15:00,1.75,0.53,3.01,0.87
8.07,15.67,7.29,20.68,1.48,16.92,,2024-08-07 06:30:00,2.17,0.66,3.74,1.08
8.07,15.67,7.42,21.06,1.54,17.23,,2024-08-07 06:45:00,2.15,0.65,3.71,1.07
8.07,15.67,5.87,16.65,1.23,13.62,,2024-08-07 07:00:00,1.88,0.57,3.23,0.93
8.37,16.46,6.7,19.02,1.38,15.56,,2024-08-07 07:15:00,1.96,0.59,3.37,0.97
9.31,19.68,6.71,19.05,1.38,15.59,,2024-08-07 07:30:00,1.98,0.6,3.42,0.99
9.31,19.68,6.85,19.44,1.4,15.9,,2024-08-07 07:45:00,1.98,0.6,3.41,0.98
9.31,19.68,7.32,20.76,1.53,16.98,,2024-08-07 08:00:00,2.18,0.66,3.75,1.08
9.36,19.85,7.68,21.78,1.57,17.82,,2024-08-07 08:15:00,2.22,0.67,3.83,1.1
9.54,20.43,7.9,22.42,1.61,18.34,,2024-08-07 08:30:00,2.25,0.68,3.88,1.12
9.54,20.43,8.23,23.36,1.68,19.11,,2024-08-07 08:45:00,2.33,0.7,4.01,1.16
9.54,20.43,7.63,21.67,1.29,17.73,,2024-08-07 09:00:00,2.18,0.66,3.76,1.08
10.32,23.2,7.31,20.74,1.52,16.97,0.01,2024-08-07 09:15:00,2.09,0.63,3.6,1.04
13.24,32.35,8.77,24.88,1.78,20.36,1.5,2024-08-07 09:30:00,2.43,0.73,4.18,1.21
13.24,32.35,7.58,21.51,1.5,17.6,4.81,2024-08-07 09:45:00,2.18,0.66,3.76,1.08
13.24,32.35,6.58,18.67,1.38,15.27,9.7,2024-08-07 10:00:00,1.96,0.59,3.37,0.97
13.13,31.96,6.67,18.92,1.36,15.48,9.69,2024-08-07 10:15:00,1.94,0.58,3.34,0.96
12.68,30.55,6.94,19.69,1.44,16.11,11.91,2024-08-07 10:30:00,2.01,0.61,3.46,1.0
12.68,30.55,6.77,19.21,1.39,15.72,12.72,2024-08-07 10:45:00,1.96,0.59,3.38,0.97
12.68,30.55,4.98,14.12,0.93,11.56,14.95,2024-08-07 11:00:00,1.59,0.48,2.74,0.79
12.22,28.6,9.08,25.77,1.48,21.08,14.85,2024-08-07 11:15:00,2.16,0.65,3.73,1.07
10.15,22.38,12.7,36.03,2.61,29.48,17.64,2024-08-07 11:30:00,3.42,1.04,5.9,1.7
10.15,22.38,13.67,38.8,2.82,31.75,19.18,2024-08-07 11:45:00,3.67,1.11,6.33,1.82
10.15,22.38,14.86,42.17,2.94,34.5,19.24,2024-08-07 12:00:00,3.8,1.15,6.56,1.89
9.76,21.1,14.63,41.5,2.98,33.96,21.04,2024-08-07 12:15:00,3.87,1.17,6.67,1.92
8.39,16.71,14.37,40.79,2.94,33.37,20.18,2024-08-07 12:30:00,3.78,1.14,6.52,1.88
8.39,16.71,14.52,41.19,2.96,33.7,20.29,2024-08-07 12:45:00,3.83,1.16,6.6,1.9
8.39,16.71,6.34,18.0,1.33,14.72,22.67,2024-08-07 13:00:00,1.88,0.57,3.23,0.93
8.87,18.09,6.35,18.02,1.25,14.74,25.16,2024-08-07 13:15:00,1.78,0.54,3.07,0.89
10.23,22.63,5.45,15.47,1.12,12.66,27.31,2024-08-07 13:30:00,1.67,0.5,2.88,0.83
10.23,22.63,5.57,15.79,1.12,12.92,22.03,2024-08-07 13:45:00,1.68,0.51,2.9,0.84
10.23,22.63,5.76,16.34,1.12,13.37,19.8,2024-08-07 14:00:00,1.66,0.5,2.85,0.82
9.97,21.83,5.39,15.29,1.1,12.51,21.76,2024-08-07 14:15:00,1.6,0.48,2.75,0.79
9.13,19.1,5.75,16.32,1.23,13.35,21.43,2024-08-07 14:30:00,1.79,0.54,3.08,0.89
9.13,19.1,6.05,17.16,1.24,14.04,20.52,2024-08-07 14:45:00,1.79,0.54,3.09,0.89
9.13,19.1,5.17,14.66,1.0,12.0,18.57,2024-08-07 15:00:00,,,,
9.81,21.31,5.7,16.19,1.19,13.24,16.12,2024-08-07 15:15:00,1.72,0.52,2.97,0.86
12.27,29.23,5.93,16.84,1.27,13.78,19.53,2024-08-07 15:30:00,1.75,0.53,3.01,0.87
12.27,29.23,6.0,17.02,1.22,13.93,21.37,2024-08-07 15:45:00,1.78,0.54,3.07,0.89
12.27,29.23,5.8,16.45,1.18,13.46,19.96,2024-08-07 16:00:00,1.78,0.54,3.06,0.88
12.41,29.75,5.69,16.16,1.16,13.22,18.0,2024-08-07 16:15:00,1.72,0.52,2.97,0.86
13.02,31.65,6.21,17.62,1.25,14.41,17.11,2024-08-07 16:30:00,1.79,0.54,3.09,0.89
13.02,31.65,5.59,15.88,1.17,12.99,18.28,2024-08-07 16:45:00,1.71,0.52,2.95,0.85
13.02,31.65,5.96,16.92,1.08,13.84,15.25,2024-08-07 17:00:00,1.81,0.55,3.12,0.9
12.39,30.02,5.98,16.97,1.24,13.88,13.37,2024-08-07 17:15:00,1.85,0.56,3.18,0.92
10.68,24.09,6.48,18.39,1.3,15.04,9.04,2024-08-07 17:30:00,1.91,0.58,3.29,0.95
10.68,24.09,6.2,17.6,1.26,14.4,9.87,2024-08-07 17:45:00,1.79,0.54,3.08,0.89
10.68,24.09,6.49,18.42,1.29,15.07,10.69,2024-08-07 18:00:00,1.91,0.58,3.29,0.95
11.99,28.31,6.4,18.16,1.38,14.86,7.39,2024-08-07 18:15:00,1.95,0.59,3.36,0.97
16.34,42.37,7.34,20.82,1.47,17.03,4.86,2024-08-07 18:30:00,2.07,0.62,3.56,1.03
16.34,42.37,7.34,20.84,1.5,17.05,4.77,2024-08-07 18:45:00,2.1,0.63,3.62,1.04
16.34,42.37,6.68,18.97,1.3,15.52,3.77,2024-08-07 19:00:00,1.92,0.58,3.31,0.95
16.78,43.94,7.98,22.64,1.6,18.52,0.56,2024-08-07 19:15:00,2.19,0.66,3.78,1.09
18.54,49.46,8.09,22.96,1.69,18.78,,2024-08-07 19:30:00,2.28,0.69,3.93,1.13
18.54,49.46,7.77,22.04,1.61,18.03,2.84,2024-08-07 19:45:00,2.28,0.69,3.92,1.13
18.54,49.46,9.34,26.51,1.9,21.69,6.15,2024-08-07 20:00:00,2.61,0.79,4.49,1.29
17.54,46.41,9.77,27.71,2.0,22.67,7.5,2024-08-07 20:15:00,2.69,0.81,4.64,1.34
13.76,34.02,10.23,29.02,2.09,23.74,1.44,2024-08-07 20:30:00,2.82,0.85,4.86,1.4
13.76,34.02,10.63,30.18,2.17,24.69,0.12,2024-08-07 20:45:00,2.9,0.88,5.0,1.44
13.76,34.02,,,1.42,,0.08,2024-08-07 21:00:00,1.86,0.56,3.21,0.93
13.78,34.08,7.6,21.58,1.58,17.65,,2024-08-07 21:15:00,2.16,0.65,3.73,1.07
13.85,34.31,7.8,22.15,1.59,18.12,,2024-08-07 21:30:00,2.22,0.67,3.83,1.1
13.85,34.31,7.48,21.24,1.54,17.37,0.05,2024-08-07 21:45:00,2.14,0.64,3.68,1.06
13.85,34.31,7.01,19.88,1.44,16.26,0.7,2024-08-07 22:00:00,2.04,0.62,3.52,1.01
15.0,37.72,6.76,19.18,1.37,15.69,1.12,2024-08-07 22:15:00,1.97,0.59,3.39,0.98
18.51,49.37,6.42,18.22,1.32,14.9,3.9,2024-08-07 22:30:00,1.88,0.57,3.24,0.94
18.51,49.37,7.31,20.74,1.46,16.96,2.48,2024-08-07 22:45:00,2.04,0.62,3.52,1.01
18.51,49.37,6.27,17.78,1.17,14.55,0.88,2024-08-07 23:00:00,1.65,0.5,2.84,0.82
17.27,46.01,7.39,20.98,1.51,17.16,,2024-08-07 23:15:00,2.13,0.64,3.67,1.06
13.18,32.15,6.44,18.27,1.33,14.95,0.54,2024-08-07 23:30:00,1.91,0.57,3.28,0.95
13.18,32.15,6.89,19.55,1.39,16.0,2.02,2024-08-08 00:00:00,1.95,0.59,3.35,0.97
13.12,31.96,,,1.33,,0.58,2024-08-08 00:15:00,1.92,0.58,3.3,0.95
12.94,31.38,6.28,17.82,1.3,14.58,1.4,2024-08-08 00:30:00,1.85,0.56,3.19,0.92
12.94,31.38,6.23,17.69,1.24,14.47,4.11,2024-08-08 00:45:00,1.8,0.54,3.11,0.9
12.94,31.38,4.24,12.04,0.89,9.85,3.24,2024-08-08 01:00:00,1.34,0.4,2.31,0.67
11.92,28.27,5.28,14.98,1.02,12.25,1.25,2024-08-08 01:15:00,1.55,0.47,2.68,0.77
9.37,19.86,5.05,14.34,1.02,11.73,1.74,2024-08-08 01:30:00,1.5,0.45,2.58,0.74
9.37,19.86,5.28,14.99,1.07,12.27,1.07,2024-08-08 01:45:00,1.6,0.48,2.75,0.79
9.37,19.86,4.8,13.62,0.99,11.14,1.69,2024-08-08 02:00:00,1.49,0.45,2.56,0.74
9.73,21.26,5.13,14.56,1.05,11.91,0.94,2024-08-08 02:15:00,1.57,0.47,2.71,0.78
10.94,24.95,4.78,13.57,0.98,11.1,0.02,2024-08-08 02:30:00,1.49,0.45,2.57,0.74
10.94,24.95,4.98,14.14,1.02,11.57,0.42,2024-08-08 02:45:00,1.55,0.47,2.66,0.77
10.94,24.95,4.63,13.14,0.86,10.75,,2024-08-08 03:00:00,1.23,0.37,2.12,0.61
10.49,23.04,5.41,15.34,1.18,12.55,0.23,2024-08-08 03:15:00,1.7,0.51,2.93,0.84
8.73,17.8,5.71,16.21,1.16,13.26,0.15,2024-08-08 03:30:00,1.7,0.51,2.93,0.85
8.73,17.8,5.32,15.09,1.11,12.34,0.15,2024-08-08 03:45:00,1.64,0.5,2.83,0.82
8.73,17.8,,,1.12,,0.46,2024-08-08 04:00:00,1.62,0.49,2.79,0.81
8.39,16.78,5.17,14.66,1.05,11.99,0.69,2024-08-08 04:15:00,1.59,0.48,2.74,0.79
7.33,13.28,4.94,14.03,1.02,11.48,0.71,2024-08-08 04:30:00,1.53,0.46,2.64,0.76
7.33,13.28,5.28,14.98,1.08,12.26,1.14,2024-08-08 04:45:00,1.61,0.48,2.77,0.8
7.33,13.28,3.55,10.09,0.96,8.25,0.34,2024-08-08 05:00:00,1.47,0.44,2.53,0.73
7.24,13.06,4.94,14.01,1.03,11.47,,2024-08-08 05:15:00,1.55,0.47,2.67,0.77
6.86,11.78,4.76,13.52,0.95,11.06,1.75,2024-08-08 05:30:00,1.44,0.43,2.49,0.72
6.86,11.78,5.54,15.71,1.16,12.86,9.03,2024-08-08 05:45:00,1.67,0.5,2.87,0.83
6.86,11.78,6.23,17.67,1.28,14.46,0.9,2024-08-08 06:00:00,1.83,0.55,3.15,0.91
7.05,12.28,6.62,18.78,1.35,15.37,,2024-08-08 06:15:00,1.94,0.59,3.35,0.97
7.5,13.85,6.98,19.82,1.44,16.21,,2024-08-08 06:30:00,2.02,0.61,3.48,1.0
7.5,13.85,7.38,20.96,1.52,17.14,,2024-08-08 06:45:00,2.09,0.63,3.6,1.04
7.5,13.85,7.51,21.31,1.4,17.43,,2024-08-08 07:00:00,2.15,0.65,3.71,1.07
8.15,17.27,7.95,22.57,1.59,18.46,,2024-08-08 07:15:00,2.21,0.67,3.81,1.1
12.42,29.71,7.85,22.29,1.59,18.24,,2024-08-08 07:30:00,2.25,0.68,3.88,1.12
12.42,29.71,7.22,20.5,1.47,16.77,0.46,2024-08-08 07:45:00,2.05,0.62,3.54,1.02
12.42,29.71,6.94,19.7,1.41,16.12,1.31,2024-08-08 08:00:00,1.99,0.6,3.43,0.99
11.9,28.05,7.29,20.68,1.51,16.92,2.64,2024-08-08 08:15:00,2.08,0.63,3.58,1.03
9.41,20.01,7.92,22.46,1.6,18.38,3.98,2024-08-08 08:30:00,2.24,0.68,3.86,1.11
9.41,20.01,7.33,20.79,1.45,17.01,4.5,2024-08-08 08:45:00,2.07,0.62,3.57,1.03
9.41,20.01,5.92,16.79,1.25,13.74,4.49,2024-08-08 09:00:00,1.43,0.43,2.46,0.71
9.99,22.55,6.49,18.43,1.33,15.08,6.76,2024-08-08 09:15:00,1.93,0.58,3.32,0.96
12.96,31.46,5.86,16.62,1.2,13.59,9.69,2024-08-08 09:30:00,1.78,0.54,3.06,0.88
12.96,31.46,5.62,15.96,1.19,13.06,13.26,2024-08-08 09:45:00,1.73,0.52,2.98,0.86
12.96,31.46,6.29,17.85,1.29,14.6,13.49,2024-08-08 10:00:00,1.92,0.58,3.31,0.95
13.09,31.89,6.32,17.95,1.33,14.68,17.98,2024-08-08 10:15:00,1.93,0.58,3.33,0.96
13.64,33.64,6.08,17.25,1.22,14.11,18.18,2024-08-08 10:30:00,1.81,0.55,3.12,0.9
13.64,33.64,6.07,17.22,1.23,14.09,20.44,2024-08-08 10:45:00,1.79,0.54,3.08,0.89
13.64,33.64,5.38,15.26,0.87,12.48,19.29,2024-08-08 11:00:00,1.42,0.43,2.45,0.71
13.02,31.96,5.38,15.27,1.11,12.49,21.74,2024-08-08 11:15:00,1.64,0.49,2.83,0.82
11.29,26.07,4.94,14.01,0.98,11.46,22.5,2024-08-08 11:30:00,1.54,0.46,2.64,0.76
11.29,26.07,4.14,11.74,0.88,9.61,20.03,2024-08-08 11:45:00,,,,
11.29,26.07,,,,,,2024-08-08 12:00:00,,,,
10.73,23.62,22.12,62.78,4.54,51.36,,2024-08-08 12:15:00,6.0,1.82,10.35,2.98
8.51,17.1,26.13,74.16,4.48,60.67,,2024-08-08 12:30:00,6.07,1.84,10.46,3.01
8.51,17.1,34.21,97.06,,79.41,,2024-08-08 12:45:00,8.13,2.46,14.02,4.03
8.51,17.1,13.61,38.62,2.77,31.6,,2024-08-08 13:00:00,3.58,1.08,6.17,1.78
9.34,19.63,13.72,38.94,2.88,31.86,,2024-08-08 13:15:00,3.71,1.12,6.4,1.84
11.65,27.23,15.02,42.63,3.04,34.88,,2024-08-08 13:30:00,4.13,1.25,7.12,2.05
11.65,27.23,13.91,39.48,2.85,32.3,,2024-08-08 13:45:00,3.7,1.12,6.39,1.84
11.65,27.23,14.24,40.4,2.89,33.05,,2024-08-08 14:00:00,3.75,1.13,6.46,1.86
11.83,27.8,14.61,41.47,3.01,33.93,,2024-08-08 14:15:00,3.91,1.18,6.74,1.94
12.4,29.63,15.29,43.38,3.13,35.49,,2024-08-08 14:30:00,4.03,1.22,6.95,2.0
12.4,29.63,15.17,43.03,3.1,35.21,,2024-08-08 14:45:00,4.03,1.22,6.94,2.0
12.4,29.63,9.72,27.59,2.02,22.57,,2024-08-08 15:00:00,2.44,0.74,4.2,1.21
12.97,31.11,8.94,25.38,1.79,20.76,,2024-08-08 15:15:00,2.61,0.79,4.51,1.3
14.63,36.83,7.77,22.04,1.61,18.03,,2024-08-08 15:30:00,2.21,0.67,3.81,1.1
14.63,36.83,5.67,16.08,1.15,13.16,,2024-08-08 15:45:00,1.75,0.53,3.01,0.87
14.63,36.83,4.8,13.64,0.92,11.16,,2024-08-08 16:00:00,1.4,0.42,2.41,0.7
14.13,35.14,3.56,10.11,0.74,8.27,,2024-08-08 16:15:00,1.19,0.36,2.05,0.59
12.42,29.71,3.71,10.53,0.78,8.62,,2024-08-08 16:30:00,1.25,0.38,2.15,0.62
12.42,29.71,3.56,10.11,0.51,8.27,,2024-08-08 16:45:00,0.91,0.27,1.56,0.45
12.42,29.71,4.96,14.09,1.34,11.52,,2024-08-08 17:00:00,,,,
12.44,29.77,6.21,17.63,1.15,14.42,,2024-08-08 17:15:00,1.64,0.49,2.83,0.82
12.5,29.97,6.36,18.06,1.42,14.77,,2024-08-08 17:30:00,1.91,0.57,3.28,0.95
12.5,29.97,10.44,29.64,2.14,24.25,,2024-08-08 17:45:00,2.89,0.87,4.98,1.44
12.5,29.97,11.87,33.68,2.39,27.55,,2024-08-08 18:00:00,3.24,0.98,5.58,1.61
12.82,30.97,11.56,32.8,2.36,26.83,,2024-08-08 18:15:00,3.14,0.95,5.41,1.56
13.83,34.27,11.1,31.49,2.28,25.77,,2024-08-08 18:30:00,3.0,0.91,5.18,1.49
13.83,34.27,9.04,25.64,1.83,20.98,,2024-08-08 18:45:00,2.4,0.72,4.13,1.19
13.83,34.27,6.25,17.75,1.23,14.52,,2024-08-08 19:00:00,,,,
14.44,35.99,5.98,16.98,1.3,13.89,,2024-08-08 19:15:00,1.93,0.58,3.32,0.96
16.37,42.46,5.98,16.96,1.22,13.88,,2024-08-08 19:30:00,1.74,0.52,2.99,0.86
16.37,42.46,6.24,17.71,1.26,14.49,,2024-08-08 19:45:00,1.78,0.54,3.07,0.89
16.37,42.46,5.42,15.39,1.07,12.59,,2024-08-08 20:00:00,1.58,0.48,2.73,0.79
17.64,46.62,6.37,18.07,1.52,14.78,,2024-08-08 20:15:00,1.85,0.56,3.19,0.92
22.45,62.05,8.75,24.82,1.83,20.3,,2024-08-08 20:30:00,2.35,0.71,4.04,1.16
22.45,62.05,9.46,26.84,1.93,21.96,,2024-08-08 20:45:00,2.62,0.79,4.52,1.3
22.45,62.05,6.7,19.0,1.36,15.55,,2024-08-08 21:00:00,1.99,0.6,3.43,0.99
