pm2.5,pm10,no,no2,co,nox,ozone,timestamp,benzene,eth_benzene,toluene,mp_xylene,xylene
29.63,52.91,41.41,30.17,2.12,71.58,23.0,2021-01-13 15:15:00,0.5,,,0.9,
29.42,52.61,36.72,29.73,1.97,66.44,24.0,2021-01-13 15:30:00,0.58,,,1.13,
29.23,52.19,32.54,27.12,1.97,59.66,25.0,2021-01-13 15:45:00,0.55,,,1.21,
29.23,52.19,18.49,20.19,0.84,38.69,29.0,2021-01-13 16:00:00,0.56,,,1.25,
29.23,52.19,21.5,22.85,0.92,44.35,25.0,2021-01-13 16:15:00,0.48,,,0.9,
28.33,49.89,16.12,13.33,0.32,29.45,32.0,2021-01-13 16:30:00,0.45,,,0.64,
27.3,48.75,16.69,16.22,0.32,32.91,31.0,2021-01-13 16:45:00,0.4,,,0.51,
27.3,48.75,16.91,12.55,0.66,29.47,34.0,2021-01-13 17:00:00,0.37,,,0.35,
27.3,48.75,18.01,11.73,0.51,29.74,35.0,2021-01-13 17:15:00,0.38,,,0.31,
28.56,50.75,15.11,13.22,0.62,28.33,36.0,2021-01-13 17:30:00,0.37,,,0.28,
29.28,52.28,16.79,13.9,0.71,30.69,35.0,2021-01-13 17:45:00,0.38,,,0.29,
29.28,52.28,14.95,14.23,0.91,29.19,32.0,2021-01-13 18:00:00,0.39,,,0.32,
29.28,52.28,15.25,16.13,0.94,31.38,30.0,2021-01-13 18:15:00,0.4,,,0.32,
31.17,55.87,16.03,16.9,1.15,32.93,31.0,2021-01-13 18:30:00,0.4,,,0.35,
32.3,57.67,13.64,17.3,1.34,30.94,31.0,2021-01-13 18:45:00,0.41,,,0.41,
32.3,57.67,13.54,20.13,1.79,33.67,31.0,2021-01-13 19:00:00,0.45,,,0.52,
32.3,57.67,17.29,22.63,2.0,39.92,31.0,2021-01-13 19:15:00,0.48,,,0.77,
36.0,64.82,15.33,23.13,2.04,38.46,29.0,2021-01-13 19:30:00,0.58,,,1.01,
39.5,70.53,14.28,24.15,2.61,38.43,27.0,2021-01-13 19:45:00,0.65,,,1.1,
39.5,70.53,18.89,22.21,2.3,41.1,29.0,2021-01-13 20:00:00,0.69,,,1.19,
39.5,70.53,18.84,23.59,2.7,42.43,27.0,2021-01-13 20:15:00,0.66,,,1.59,
54.62,86.64,24.37,23.83,3.45,48.2,27.0,2021-01-13 20:30:00,0.65,,,1.88,
66.56,118.86,70.69,31.47,6.43,102.16,24.0,2021-01-13 20:45:00,0.64,,,2.02,
66.56,118.86,52.16,32.82,3.82,84.98,24.0,2021-01-13 21:00:00,0.71,,,2.86,
66.56,118.86,55.47,30.64,4.44,86.11,21.0,2021-01-13 21:15:00,0.74,,,4.83,
68.72,121.67,32.01,29.96,2.74,61.97,20.0,2021-01-13 21:30:00,0.67,,,4.97,
69.97,124.95,26.51,28.09,1.9,54.6,22.0,2021-01-13 21:45:00,0.63,,,4.38,
69.97,124.95,18.99,25.84,1.3,44.83,25.0,2021-01-13 22:00:00,0.6,,,3.4,
69.97,124.95,18.41,27.54,1.27,45.95,28.0,2021-01-13 22:15:00,0.58,,,2.37,
62.08,106.65,17.01,23.54,1.06,40.55,31.0,2021-01-13 22:30:00,0.57,,,1.93,
53.58,95.67,15.43,21.92,1.08,37.35,32.0,2021-01-13 22:45:00,0.56,,,1.67,
53.58,95.67,14.35,21.66,1.09,36.01,32.0,2021-01-13 23:00:00,0.54,,,1.55,
53.58,95.67,12.62,20.68,0.97,33.31,30.0,2021-01-13 23:15:00,0.54,,,1.42,
50.55,88.48,15.57,22.01,1.05,37.58,30.0,2021-01-13 23:30:00,0.55,,,1.32,
45.92,82.01,21.74,23.01,1.33,44.75,33.0,2021-01-14 00:00:00,0.58,,,1.38,
45.92,82.01,22.05,22.28,1.41,44.33,32.0,2021-01-14 00:15:00,0.6,,,1.45,
47.33,83.54,20.44,23.05,1.4,43.48,33.0,2021-01-14 00:30:00,0.68,,,1.64,
48.5,86.6,31.29,26.07,1.65,57.36,28.0,2021-01-14 00:45:00,0.68,,,1.7,
48.5,86.6,22.73,25.78,1.36,48.51,26.0,2021-01-14 01:00:00,0.66,,,1.87,
48.5,86.6,28.59,26.2,1.4,54.79,26.0,2021-01-14 01:15:00,0.66,,,1.89,
49.58,88.14,41.09,26.52,1.66,67.6,24.0,2021-01-14 01:30:00,0.64,,,1.82,
50.08,89.42,47.93,29.35,1.91,77.28,25.0,2021-01-14 01:45:00,0.62,,,1.75,
50.08,89.42,35.58,27.85,1.44,63.43,26.0,2021-01-14 02:00:00,0.61,,,1.87,
50.08,89.42,39.44,27.39,1.53,66.84,26.0,2021-01-14 02:15:00,0.59,,,1.82,
48.72,86.72,35.23,26.7,1.44,61.94,26.0,2021-01-14 02:30:00,0.59,,,1.65,
47.59,84.99,38.82,27.03,1.34,65.86,22.0,2021-01-14 02:45:00,0.58,,,1.53,
47.59,84.99,53.4,27.25,1.51,80.65,23.0,2021-01-14 03:00:00,0.57,,,1.47,
47.59,84.99,38.79,27.6,1.3,66.4,25.0,2021-01-14 03:15:00,0.56,,,1.42,
45.49,80.66,32.7,25.9,0.94,58.6,28.0,2021-01-14 03:30:00,0.55,,,1.45,
43.49,77.66,28.62,24.88,0.69,53.5,28.0,2021-01-14 03:45:00,0.53,,,1.33,
43.49,77.66,30.71,26.76,0.86,57.48,29.0,2021-01-14 04:00:00,0.42,,,1.08,
43.49,77.66,23.82,24.5,0.68,48.32,27.0,2021-01-14 04:15:00,0.45,,,0.93,
44.73,79.37,28.88,22.98,0.64,51.87,23.0,2021-01-14 04:30:00,0.49,,,0.87,
46.2,82.5,27.06,24.03,0.62,51.09,24.0,2021-01-14 04:45:00,0.47,,,0.83,
46.2,82.5,18.3,21.78,0.89,40.08,28.0,2021-01-14 05:00:00,0.47,,,0.78,
46.2,82.5,22.34,22.67,0.89,45.02,29.0,2021-01-14 05:15:00,0.47,,,0.72,
41.62,74.25,19.02,19.86,0.96,38.88,31.0,2021-01-14 05:30:00,0.47,,,0.73,
38.5,68.75,16.99,17.65,0.87,34.64,32.0,2021-01-14 05:45:00,0.49,,,0.92,
38.5,68.75,13.74,17.86,1.01,31.6,31.0,2021-01-14 06:00:00,0.52,,,1.0,
38.5,68.75,16.77,17.38,0.84,34.15,27.0,2021-01-14 06:15:00,0.52,,,0.87,
43.31,74.64,18.54,18.39,0.99,36.93,27.0,2021-01-14 06:30:00,0.52,,,0.79,
47.4,84.64,18.02,19.33,1.41,37.35,32.0,2021-01-14 06:45:00,0.52,,,0.8,
47.4,84.64,20.08,19.37,1.37,39.45,31.0,2021-01-14 07:00:00,0.55,,,0.84,
47.4,84.64,27.11,19.68,1.7,46.79,29.0,2021-01-14 07:15:00,0.55,,,0.9,
56.56,103.12,21.75,18.81,1.58,40.56,31.0,2021-01-14 07:30:00,0.52,,,0.97,
69.58,124.24,16.65,19.17,1.4,35.83,32.0,2021-01-14 07:45:00,0.56,,,1.01,
69.58,124.24,19.4,19.61,2.77,39.01,32.0,2021-01-14 08:00:00,0.65,,,1.07,
69.58,124.24,18.99,22.15,2.54,41.14,32.0,2021-01-14 08:15:00,0.7,,,1.1,
83.6,150.17,18.9,23.24,2.28,42.15,32.0,2021-01-14 08:30:00,0.62,,,1.15,
94.26,168.32,21.5,26.15,2.71,47.66,29.0,2021-01-14 08:45:00,0.55,,,1.11,
94.26,168.32,76.5,36.6,5.96,113.1,24.0,2021-01-14 09:00:00,0.6,,,1.11,
94.26,168.32,52.74,35.24,3.55,87.97,24.0,2021-01-14 09:15:00,0.66,,,1.48,
99.44,177.19,64.53,35.77,4.27,100.3,26.0,2021-01-14 09:30:00,0.69,,,3.02,
103.26,184.39,46.49,31.37,3.03,77.86,22.0,2021-01-14 09:45:00,0.64,,,2.75,
103.26,184.39,57.02,35.42,3.14,92.43,21.0,2021-01-14 10:00:00,0.6,,,2.67,
103.26,184.39,54.3,35.64,2.69,89.94,23.0,2021-01-14 10:15:00,0.63,,,2.82,
61.5,109.82,29.84,30.45,1.44,60.28,28.0,2021-01-14 10:45:00,0.89,,,3.08,
61.5,109.82,24.76,29.77,0.59,54.53,33.0,2021-01-14 11:00:00,0.39,,,0.38,
61.5,109.82,27.08,27.98,1.15,55.06,34.0,2021-01-14 11:15:00,0.55,,,1.44,
49.7,95.33,28.93,25.93,0.99,54.87,32.0,2021-01-14 11:30:00,0.48,,,1.21,
41.21,73.59,25.22,28.74,0.97,53.96,30.0,2021-01-14 11:45:00,0.49,,,1.17,
41.21,73.59,20.19,23.2,0.48,43.39,35.0,2021-01-14 12:00:00,0.6,,,0.99,
41.21,73.59,39.81,34.29,2.37,74.1,24.0,2021-01-14 12:15:00,0.56,,,1.08,
38.72,68.91,25.72,25.9,1.18,51.62,32.0,2021-01-14 12:30:00,0.46,,,0.8,
36.58,65.33,24.62,24.12,0.99,48.75,33.0,2021-01-14 12:45:00,0.36,,,1.53,
36.58,65.33,27.94,28.75,1.09,56.69,30.0,2021-01-14 13:00:00,0.48,,,1.06,
36.58,65.33,33.55,24.34,1.35,57.89,25.0,2021-01-14 13:15:00,0.53,,,0.9,
33.89,61.17,23.98,23.27,0.63,47.25,27.0,2021-01-14 13:30:00,0.47,,,1.2,
30.29,54.09,18.69,17.73,0.43,36.42,34.0,2021-01-14 13:45:00,0.49,,,1.04,
30.29,54.09,28.29,25.79,1.26,54.08,27.0,2021-01-14 14:00:00,0.46,,,0.82,
30.29,54.09,36.97,29.02,2.55,65.99,23.0,2021-01-14 14:15:00,0.36,,,0.47,
66.41,118.6,27.15,35.72,1.78,62.87,19.0,2021-01-24 11:15:00,0.0,,,,
58.51,112.24,13.19,22.46,0.56,35.65,33.0,2021-01-24 11:30:00,0.0,,,,
50.04,89.36,21.56,31.54,1.21,53.1,28.0,2021-01-24 11:45:00,0.0,,,,
50.04,89.36,19.08,28.65,1.33,47.73,35.0,2021-01-24 12:00:00,0.0,,,,
50.04,89.36,16.29,27.88,1.13,44.17,32.0,2021-01-24 12:15:00,0.0,,,,
46.23,77.78,34.12,39.22,2.77,73.34,23.0,2021-01-24 12:30:00,0.0,,,,
41.3,73.75,26.86,39.13,2.6,65.99,24.0,2021-01-24 12:45:00,0.0,,,,
41.3,73.75,20.5,35.25,2.1,55.75,28.0,2021-01-24 13:00:00,0.0,,,,
41.3,73.75,30.01,42.18,2.72,72.19,25.0,2021-01-24 13:15:00,0.0,,,,
45.59,83.73,17.58,30.27,1.46,47.85,37.0,2021-01-24 13:30:00,0.0,,,,
49.19,87.85,19.64,28.65,1.28,48.29,36.0,2021-01-24 13:45:00,0.0,,,,
49.19,87.85,21.33,32.71,2.17,54.04,32.0,2021-01-24 14:00:00,0.0,,,,
49.19,87.85,30.55,41.73,2.51,72.28,22.0,2021-01-24 14:15:00,0.0,,,,
46.99,85.09,23.51,34.26,1.6,57.77,28.0,2021-01-24 14:30:00,0.0,,,,
44.79,79.98,23.41,29.31,1.55,52.72,26.0,2021-01-24 14:45:00,0.0,,,,
44.79,79.98,27.63,34.33,1.32,61.96,21.0,2021-01-24 15:00:00,0.0,,,,
44.79,79.98,24.13,35.13,1.82,59.26,18.0,2021-01-24 15:15:00,0.0,,,,
43.02,77.33,31.73,38.23,2.25,69.96,17.0,2021-01-24 15:30:00,0.0,,,,
41.4,73.94,29.69,35.87,1.87,65.56,19.0,2021-01-24 15:45:00,0.0,,,,
41.4,73.94,29.52,34.58,1.37,64.1,19.0,2021-01-24 16:00:00,0.0,,,,
41.4,73.94,29.61,34.45,1.48,64.05,20.0,2021-01-24 16:15:00,0.0,,,,
42.62,76.14,30.73,34.84,1.63,65.57,16.0,2021-01-24 16:30:00,0.0,,,,
43.44,77.57,23.27,29.57,1.45,52.84,22.0,2021-01-24 16:45:00,0.0,,,,
43.44,77.57,26.23,35.01,1.84,61.24,17.0,2021-01-24 17:00:00,0.0,,,,
43.44,77.57,31.6,34.61,2.2,66.21,18.0,2021-01-24 17:15:00,0.0,,,,
46.46,81.33,35.03,38.7,2.3,73.73,16.0,2021-01-24 17:30:00,0.0,,,,
49.76,88.86,42.56,41.3,2.9,83.87,14.0,2021-01-24 17:45:00,0.0,,,,
49.76,88.86,21.9,33.03,1.59,54.93,16.0,2021-01-24 18:00:00,0.0,,,,
49.76,88.86,26.8,36.06,2.03,62.86,15.0,2021-01-24 18:15:00,0.0,,,,
46.32,81.83,30.59,39.89,2.59,70.48,16.0,2021-01-24 18:30:00,0.0,,,,
41.89,74.8,22.53,36.18,2.01,58.71,22.0,2021-01-24 18:45:00,0.0,,,,
41.89,74.8,16.71,35.82,1.6,52.54,24.0,2021-01-24 19:00:00,0.0,,,,
41.89,74.8,22.68,39.34,2.45,62.03,22.0,2021-01-24 19:15:00,0.0,,,,
51.37,89.11,20.83,35.91,3.33,56.74,20.0,2021-01-24 19:30:00,0.0,,,,
59.07,105.48,18.08,37.17,2.46,55.25,17.0,2021-01-24 19:45:00,0.0,,,,
59.07,105.48,19.74,31.19,2.1,50.93,22.0,2021-01-24 20:00:00,0.0,,,,
59.07,105.48,17.93,29.65,2.01,47.58,23.0,2021-01-24 20:15:00,0.0,,,,
73.32,133.79,19.62,32.86,2.23,52.48,21.0,2021-01-24 20:30:00,0.0,,,,
91.91,164.12,23.44,38.33,2.49,61.77,18.0,2021-01-24 20:45:00,0.0,,,,
91.91,164.12,19.91,37.52,1.53,57.43,22.0,2021-01-24 21:00:00,0.0,,,,
91.91,164.12,15.05,28.63,1.22,43.67,28.0,2021-01-24 21:15:00,0.0,,,,
80.97,150.45,12.31,27.01,1.58,39.32,28.0,2021-01-24 21:30:00,0.0,,,,
73.53,131.3,16.56,21.87,1.24,38.43,30.0,2021-01-24 21:45:00,0.0,,,,
73.53,131.3,17.6,22.91,1.33,40.51,32.0,2021-01-24 22:00:00,0.0,,,,
73.53,131.3,17.18,21.4,1.19,38.59,33.0,2021-01-24 22:15:00,0.0,,,,
72.96,130.47,15.67,20.37,0.97,36.04,33.0,2021-01-24 22:30:00,0.0,,,,
72.49,129.45,16.66,22.9,0.71,39.56,33.0,2021-01-24 22:45:00,0.0,,,,
72.49,129.45,14.86,28.55,2.03,43.4,31.0,2021-01-24 23:00:00,0.0,,,,
72.49,129.45,17.15,29.38,1.84,46.54,26.0,2021-01-24 23:15:00,0.0,,,,
66.58,118.57,15.48,25.55,1.34,41.03,33.0,2021-01-24 23:30:00,0.0,,,,
61.02,108.97,13.11,20.15,1.13,33.27,36.0,2021-01-25 00:00:00,0.0,,,,
61.02,108.97,17.37,19.93,0.81,37.29,35.0,2021-01-25 00:15:00,0.0,,,,
62.26,110.92,17.87,24.63,0.93,42.5,32.0,2021-01-25 00:30:00,0.0,,,,
63.36,113.15,16.43,21.27,0.96,37.69,35.0,2021-01-25 00:45:00,0.0,,,,
63.36,113.15,12.46,19.56,1.22,32.02,32.0,2021-01-25 01:00:00,0.0,,,,
63.36,113.15,14.2,19.05,1.26,33.25,31.0,2021-01-25 01:15:00,0.0,,,,
64.55,115.5,13.89,19.62,1.12,33.51,33.0,2021-01-25 01:30:00,0.0,,,,
65.89,117.67,13.7,18.53,0.97,32.23,33.0,2021-01-25 01:45:00,0.0,,,,
65.89,117.67,16.24,19.55,1.1,35.79,34.0,2021-01-25 02:00:00,0.0,,,,
65.89,117.67,13.17,24.74,1.13,37.91,32.0,2021-01-25 02:15:00,0.0,,,,
63.43,115.33,16.44,21.75,1.11,38.19,34.0,2021-01-25 02:30:00,0.0,,,,
61.4,109.65,16.79,18.23,1.06,35.02,29.0,2021-01-25 02:45:00,0.0,,,,
61.4,109.65,18.46,23.95,1.27,42.41,29.0,2021-01-25 03:00:00,0.0,,,,
61.4,109.65,22.14,24.43,1.46,46.58,26.0,2021-01-25 03:15:00,0.0,,,,
62.09,110.62,17.2,22.01,1.35,39.21,28.0,2021-01-25 03:30:00,0.0,,,,
62.65,111.87,13.75,23.24,1.36,36.98,28.0,2021-01-25 03:45:00,0.0,,,,
62.65,111.87,17.21,21.87,1.31,39.09,30.0,2021-01-25 04:00:00,0.0,,,,
62.65,111.87,16.0,21.74,1.28,37.73,29.0,2021-01-25 04:15:00,0.0,,,,
63.54,113.33,16.63,20.86,1.28,37.49,30.0,2021-01-25 04:30:00,0.0,,,,
64.35,114.92,13.65,21.17,1.14,34.82,31.0,2021-01-25 04:45:00,0.0,,,,
64.35,114.92,15.03,19.89,1.14,34.92,30.0,2021-01-25 05:00:00,0.0,,,,
64.35,114.92,15.39,20.68,1.6,36.07,30.0,2021-01-25 05:15:00,0.0,,,,
73.54,129.64,17.43,19.77,1.8,37.2,27.0,2021-01-25 05:30:00,0.0,,,,
81.52,145.58,14.4,21.29,1.36,35.7,29.0,2021-01-25 05:45:00,0.0,,,,
81.52,145.58,17.06,17.93,1.28,34.99,29.0,2021-01-25 06:00:00,0.0,,,,
81.52,145.58,16.8,17.99,1.13,34.79,28.0,2021-01-25 06:15:00,0.0,,,,
85.77,152.87,13.96,18.56,1.08,32.52,29.0,2021-01-25 06:30:00,0.0,,,,
89.18,159.25,11.29,17.86,1.17,29.15,29.0,2021-01-25 06:45:00,0.0,,,,
89.18,159.25,15.81,19.82,1.3,35.63,32.0,2021-01-25 07:00:00,0.0,,,,
89.18,159.25,15.29,18.68,1.45,33.97,31.0,2021-01-25 07:15:00,0.0,,,,
90.67,160.82,17.48,19.08,1.71,36.56,27.0,2021-01-25 07:30:00,0.0,,,,
91.72,163.78,19.13,23.0,2.27,42.14,29.0,2021-01-25 07:45:00,0.0,,,,
91.72,163.78,17.31,24.93,3.09,42.24,29.0,2021-01-25 08:00:00,0.0,,,,
91.72,163.78,19.64,28.96,3.28,48.6,24.0,2021-01-25 08:15:00,0.0,,,,
127.77,224.3,25.21,31.33,3.05,56.54,23.0,2021-01-25 08:30:00,0.0,,,,
151.02,269.69,68.61,37.54,5.38,106.15,18.0,2021-01-25 08:45:00,0.0,,,,
151.02,269.69,46.59,38.55,4.13,85.14,20.0,2021-01-25 09:00:00,0.0,,,,
151.02,269.69,71.49,41.16,4.64,112.65,17.0,2021-01-25 09:15:00,0.0,,,,
130.4,233.52,50.08,40.5,3.62,90.59,18.0,2021-01-25 09:30:00,0.0,,,,
