pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,vws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
52.49,102.71,3.05,6.76,21.18,0.65,6.07,22.81,25.61,96.34,0.22,0.04,131.16,769.03,2024-01-31 09:15:00,5.08,0.01,0.24,1.11,0.44
52.37,102.48,2.94,6.32,21.79,0.62,5.74,30.81,26.17,93.3,0.27,0.04,150.65,769.1,2024-01-31 09:30:00,5.17,0.0,0.24,1.1,0.42
49.01,95.91,3.07,6.11,21.68,0.67,5.74,29.89,27.07,87.97,0.27,0.04,72.78,769.94,2024-01-31 09:45:00,5.19,0.01,0.17,0.96,0.31
49.01,95.91,2.88,5.93,21.18,0.62,5.48,32.54,27.16,87.52,0.26,0.04,112.06,769.79,2024-01-31 10:00:00,5.27,0.01,0.12,0.85,0.22
49.01,95.91,2.69,5.71,20.14,0.51,5.21,36.74,27.45,84.92,0.19,0.04,105.15,769.19,2024-01-31 10:15:00,5.25,0.01,0.12,0.85,0.22
48.95,95.79,2.48,5.31,19.17,0.45,4.83,37.73,27.92,81.63,0.23,0.04,112.54,769.0,2024-01-31 10:30:00,5.44,0.01,0.12,0.86,0.22
47.61,93.16,4.33,5.87,18.58,0.48,6.63,38.46,28.0,80.5,0.16,0.04,58.68,768.48,2024-01-31 10:45:00,7.24,0.02,0.12,0.86,0.22
47.61,93.16,3.11,5.67,18.15,0.49,5.53,40.59,27.99,79.41,0.38,0.04,148.65,768.01,2024-01-31 11:00:00,8.04,0.01,0.12,0.87,0.23
47.61,93.16,3.19,5.56,16.97,0.44,5.54,40.16,28.21,77.75,0.28,0.04,135.36,767.24,2024-01-31 11:15:00,6.75,0.02,0.13,0.94,0.24
47.06,92.1,2.59,5.74,16.3,0.45,5.15,23.79,28.29,76.79,0.23,0.04,138.59,766.88,2024-01-31 11:30:00,5.79,0.01,0.12,0.99,0.22
31.33,61.3,3.44,6.0,15.54,0.4,5.97,40.05,28.73,73.38,0.31,0.04,153.91,766.09,2024-01-31 11:45:00,5.42,0.01,0.12,0.96,0.21
31.33,61.3,3.4,5.89,15.26,0.41,5.88,44.02,28.99,71.76,0.25,0.04,148.5,764.98,2024-01-31 12:00:00,4.75,0.02,0.12,0.94,0.21
31.33,61.3,2.89,5.66,14.78,0.4,5.35,44.41,29.07,70.91,0.37,0.04,158.32,763.82,2024-01-31 12:15:00,4.86,0.02,0.12,0.98,0.22
31.07,60.79,2.55,5.46,14.42,0.37,4.97,45.23,29.09,70.41,0.32,0.04,137.65,762.82,2024-01-31 12:30:00,5.08,0.02,0.12,0.94,0.22
23.49,45.97,2.47,5.64,13.93,0.37,5.0,45.2,29.55,67.17,0.27,0.04,122.27,761.87,2024-01-31 12:45:00,5.29,0.01,0.12,0.92,0.22
23.49,45.97,2.56,5.88,13.44,0.38,5.2,45.35,29.71,65.97,0.33,0.04,138.8,760.91,2024-01-31 13:00:00,5.5,0.01,0.12,0.9,0.22
23.49,45.97,2.43,5.55,12.99,0.38,4.91,47.85,29.67,65.44,0.25,0.04,104.24,759.21,2024-01-31 13:15:00,5.64,0.01,0.12,0.89,0.22
23.54,46.07,2.35,5.43,12.59,0.38,4.79,49.73,29.62,66.12,0.38,0.04,136.3,757.71,2024-01-31 13:30:00,5.63,0.01,0.12,0.88,0.22
24.66,48.25,2.35,5.59,12.23,0.4,4.87,50.1,29.95,64.79,0.35,0.04,157.43,756.56,2024-01-31 13:45:00,5.55,0.01,0.12,0.88,0.22
24.66,48.25,2.39,5.43,11.46,0.38,4.82,49.77,30.0,64.08,0.2,0.04,142.85,755.49,2024-01-31 14:00:00,5.55,0.01,0.12,0.88,0.22
24.66,48.25,2.41,5.49,10.2,0.38,4.87,48.42,30.37,62.72,0.36,0.04,128.77,754.96,2024-01-31 14:15:00,5.55,0.01,0.12,0.87,0.23
24.44,47.83,2.41,5.34,9.39,0.36,4.78,47.81,30.42,62.43,0.37,0.04,155.4,754.07,2024-01-31 14:30:00,5.54,0.01,0.12,0.87,0.22
19.75,38.65,2.38,5.17,8.41,0.35,4.67,49.13,30.06,63.83,0.35,0.04,143.89,753.94,2024-01-31 14:45:00,5.59,0.02,0.12,0.87,0.22
19.75,38.65,2.37,5.24,7.62,0.37,4.7,50.25,30.32,63.65,0.22,0.04,105.03,753.02,2024-01-31 15:00:00,6.57,0.01,0.12,0.87,0.23
19.75,38.65,2.3,5.42,7.48,0.38,4.74,50.58,30.51,61.8,0.36,0.04,139.71,752.43,2024-01-31 15:15:00,8.4,0.01,0.12,0.87,0.22
19.51,38.19,2.34,5.46,6.39,0.36,4.8,52.26,30.26,63.14,0.43,0.04,149.58,751.4,2024-01-31 15:30:00,8.13,0.01,0.13,0.94,0.24
14.45,28.28,2.37,5.42,5.95,0.4,4.79,50.32,30.13,65.82,0.24,0.04,134.06,751.38,2024-01-31 15:45:00,6.9,0.01,0.12,1.02,0.23
14.45,28.28,2.41,5.44,5.33,0.41,4.84,47.45,30.16,66.61,0.31,0.04,131.51,751.27,2024-01-31 16:00:00,5.85,0.01,0.12,1.01,0.22
14.45,28.28,2.41,5.55,4.74,0.39,4.9,45.81,30.08,67.15,0.36,0.04,139.17,751.11,2024-01-31 16:15:00,5.42,0.01,0.12,0.96,0.21
14.72,28.81,2.44,5.68,4.19,0.4,4.99,44.82,29.83,68.07,0.4,0.04,146.95,751.16,2024-01-31 16:30:00,5.45,0.02,0.12,0.94,0.22
20.51,40.14,2.41,5.96,4.1,0.41,5.12,43.15,29.67,69.34,0.42,0.04,152.03,752.07,2024-01-31 16:45:00,5.64,0.01,0.12,0.91,0.21
20.51,40.14,2.38,6.1,3.89,0.44,5.17,41.78,29.46,70.81,0.41,0.04,149.95,752.36,2024-01-31 17:00:00,5.96,0.01,0.12,0.9,0.22
20.51,40.14,2.36,5.97,3.58,0.45,5.08,40.95,29.21,72.72,0.34,0.04,142.8,753.18,2024-01-31 17:15:00,6.12,0.01,0.12,0.89,0.21
21.44,41.96,2.73,6.88,3.62,0.5,5.87,39.39,28.91,74.66,0.35,0.04,139.12,753.91,2024-01-31 17:30:00,6.46,0.02,0.12,0.89,0.21
41.45,81.11,2.59,6.95,3.69,0.48,5.79,34.28,28.64,75.95,0.4,0.04,150.62,754.3,2024-01-31 17:45:00,6.39,0.01,0.12,0.89,0.21
41.45,81.11,2.39,6.78,3.89,0.5,5.54,17.95,28.38,77.64,0.37,0.04,149.47,755.06,2024-01-31 18:00:00,6.46,0.02,0.12,0.89,0.21
41.45,81.11,2.42,7.54,4.09,0.61,5.97,31.2,28.18,78.87,0.26,0.04,120.63,755.89,2024-01-31 18:15:00,6.75,0.03,0.14,0.93,0.24
41.24,80.71,2.62,9.02,4.84,0.73,6.92,33.38,27.98,81.1,0.34,0.04,153.66,756.9,2024-01-31 18:30:00,6.21,0.01,0.23,1.12,0.4
36.85,72.12,2.65,9.15,5.47,0.74,7.01,29.56,27.66,84.19,0.41,0.04,153.95,757.02,2024-01-31 18:45:00,5.83,0.01,0.24,1.11,0.42
36.85,72.12,3.01,10.03,6.49,0.73,7.77,26.37,27.47,85.17,0.41,0.04,154.32,757.9,2024-01-31 19:00:00,5.6,0.01,0.24,1.13,0.42
36.85,72.12,2.97,10.55,7.42,0.79,8.01,26.09,27.36,85.91,0.4,0.04,155.56,758.0,2024-01-31 19:15:00,6.2,0.01,0.24,1.15,0.42
37.38,73.15,2.91,10.04,8.78,0.74,7.69,27.53,27.25,86.83,0.4,0.04,151.91,758.11,2024-01-31 19:30:00,8.1,0.01,0.24,1.15,0.42
48.71,95.33,3.02,10.09,9.26,0.69,7.81,27.03,27.15,87.42,0.4,0.04,153.13,758.99,2024-01-31 19:45:00,8.15,0.02,0.25,1.18,0.43
48.71,95.33,3.15,10.51,10.8,0.71,8.14,25.98,27.02,88.35,0.39,0.04,153.45,759.13,2024-01-31 20:00:00,6.78,0.02,0.25,1.25,0.43
48.71,95.33,3.09,10.44,12.45,0.75,8.05,24.88,26.89,89.36,0.38,0.04,149.29,760.39,2024-01-31 20:15:00,5.86,0.01,0.24,1.25,0.41
48.7,95.3,2.93,10.47,13.22,0.71,7.94,23.9,26.79,90.16,0.4,0.04,155.06,760.82,2024-01-31 20:30:00,5.48,0.01,0.24,1.21,0.42
48.41,94.74,2.8,10.16,13.75,0.67,7.66,24.8,26.69,90.87,0.39,0.04,153.29,761.19,2024-01-31 20:45:00,5.33,0.02,0.24,1.18,0.42
48.41,94.74,2.76,10.07,14.58,0.75,7.58,22.55,26.58,91.64,0.35,0.04,138.18,761.3,2024-01-31 21:00:00,5.41,0.02,0.24,1.17,0.42
48.41,94.74,3.86,9.73,15.14,0.83,8.3,20.19,26.43,92.67,0.31,0.04,58.52,762.0,2024-01-31 21:15:00,5.56,0.01,0.24,1.15,0.42
48.45,94.82,7.13,7.17,15.59,0.69,9.6,14.8,25.98,95.95,0.29,0.04,50.33,762.0,2024-01-31 21:30:00,5.68,0.02,0.24,1.15,0.42
49.3,96.47,4.16,10.84,16.39,0.69,9.14,13.02,25.8,97.19,0.35,0.04,29.66,762.0,2024-01-31 21:45:00,5.64,0.01,0.24,1.15,0.42
49.3,96.47,3.52,10.36,16.49,0.63,8.36,14.79,25.72,97.57,0.36,0.04,50.36,762.02,2024-01-31 22:00:00,5.69,0.02,0.24,1.15,0.42
49.3,96.47,3.18,9.61,16.91,0.59,7.69,14.69,25.43,99.3,0.38,0.04,6.05,763.38,2024-01-31 22:15:00,5.6,0.02,0.24,1.16,0.43
49.27,96.42,3.96,7.47,17.19,0.65,7.18,15.03,25.37,99.0,0.37,0.04,49.46,763.17,2024-01-31 22:30:00,5.54,0.01,0.24,1.15,0.42
48.67,95.25,2.96,7.63,17.79,0.61,6.46,16.01,25.4,98.9,0.31,0.04,45.36,763.4,2024-01-31 22:45:00,5.56,0.01,0.24,1.15,0.42
48.67,95.25,2.52,8.61,18.21,0.69,6.62,14.83,25.23,,0.35,0.04,9.56,763.17,2024-01-31 23:00:00,5.56,0.02,0.24,1.15,0.42
48.67,95.25,2.55,10.3,18.56,0.76,7.54,12.14,25.14,,0.3,0.04,51.11,763.07,2024-01-31 23:15:00,5.47,0.01,0.24,1.16,0.42
48.56,95.03,2.64,10.2,19.03,0.86,7.56,12.53,25.19,,0.34,0.04,37.98,763.22,2024-01-31 23:30:00,5.61,0.01,0.25,1.16,0.43
46.11,90.23,2.6,11.51,19.34,0.89,8.23,10.97,25.15,,0.36,0.04,32.74,763.36,2024-01-31 23:45:00,6.73,0.01,0.24,1.15,0.42
46.11,90.23,2.29,10.88,16.17,0.65,7.64,13.83,25.12,,0.26,0.04,56.3,763.33,2024-02-01 00:00:00,7.49,0.01,0.24,1.16,0.43
46.11,90.23,2.27,9.43,14.86,0.66,6.85,15.43,25.07,,0.32,0.04,63.87,762.5,2024-02-01 00:15:00,6.44,0.01,0.25,1.2,0.44
46.04,90.1,2.29,7.78,14.32,0.67,5.99,16.78,25.01,,0.24,0.04,50.61,762.0,2024-02-01 00:30:00,5.71,0.01,0.24,1.23,0.42
44.63,87.34,2.36,7.05,13.7,0.66,5.66,15.28,25.01,,0.34,0.03,47.25,761.88,2024-02-01 00:45:00,5.23,0.01,0.24,1.2,0.42
44.63,87.34,2.34,7.09,13.67,0.58,5.66,15.03,25.04,,0.38,0.03,63.28,761.21,2024-02-01 01:00:00,4.98,0.0,0.24,1.17,0.43
44.63,87.34,2.42,6.93,13.26,0.54,5.64,15.58,25.08,,0.37,0.04,58.48,760.96,2024-02-01 01:15:00,4.9,0.01,0.24,1.16,0.43
44.67,87.42,2.46,7.96,13.38,0.65,6.22,13.56,24.86,,0.31,0.04,18.32,760.66,2024-02-01 01:30:00,5.03,0.01,0.24,1.15,0.43
45.57,89.18,2.43,8.21,13.71,0.72,6.33,13.04,24.69,,0.34,0.04,23.54,759.98,2024-02-01 01:45:00,5.28,0.01,0.24,1.15,0.43
45.57,89.18,2.42,7.82,13.78,0.73,6.12,12.32,24.72,,0.38,0.04,44.33,759.06,2024-02-01 02:00:00,5.44,0.01,0.24,1.14,0.43
45.57,89.18,2.5,8.06,14.01,0.66,6.31,10.82,24.7,,0.37,0.04,49.33,758.42,2024-02-01 02:15:00,5.43,0.02,0.24,1.15,0.43
45.98,89.98,2.46,7.69,14.22,0.62,6.08,11.3,24.73,,0.34,0.04,73.68,757.62,2024-02-01 02:30:00,5.42,0.01,0.24,1.14,0.43
54.75,107.15,2.3,6.36,14.58,0.68,5.24,13.75,24.67,,0.31,0.04,41.34,757.14,2024-02-01 02:45:00,5.43,0.01,0.24,1.15,0.43
54.75,107.15,2.3,6.14,15.0,0.74,5.12,13.78,24.57,,0.27,0.04,52.24,756.93,2024-02-01 03:00:00,5.45,0.01,0.24,1.14,0.43
54.75,107.15,2.26,6.24,15.19,0.84,5.15,13.53,24.49,,0.27,0.04,25.04,756.84,2024-02-01 03:15:00,5.48,0.01,0.24,1.14,0.43
54.59,106.82,3.19,6.1,15.8,0.92,5.82,12.13,24.45,,0.35,0.04,28.91,756.93,2024-02-01 03:30:00,5.48,0.01,0.24,1.14,0.43
49.81,97.47,2.46,6.55,15.88,0.99,5.47,12.63,24.43,,0.34,0.04,59.67,757.0,2024-02-01 03:45:00,5.43,0.01,0.24,1.14,0.43
49.81,97.47,2.36,7.35,16.68,0.96,5.82,13.32,24.48,,0.3,0.04,42.42,757.07,2024-02-01 04:00:00,6.23,0.01,0.24,1.15,0.43
49.81,97.47,2.55,8.79,17.07,0.94,6.74,12.83,24.58,,0.27,0.04,90.19,757.48,2024-02-01 04:15:00,7.25,0.01,0.25,1.15,0.43
49.55,96.97,2.74,9.12,17.16,0.91,7.07,12.43,24.63,,0.33,0.04,78.4,757.98,2024-02-01 04:30:00,6.53,0.01,0.25,1.18,0.44
44.03,86.16,2.61,8.31,17.21,0.69,6.53,12.76,24.64,,0.37,0.04,54.98,758.01,2024-02-01 04:45:00,5.67,0.01,0.24,1.24,0.43
44.03,86.16,2.44,7.45,17.28,0.59,5.94,13.49,24.54,,0.29,0.04,43.62,758.6,2024-02-01 05:00:00,5.14,0.01,0.24,1.22,0.42
44.03,86.16,2.56,7.66,17.78,0.63,6.14,13.23,24.54,,0.32,0.04,81.06,759.0,2024-02-01 05:15:00,4.85,0.01,0.24,1.19,0.43
44.0,86.11,2.7,8.09,18.02,0.59,6.49,12.95,24.76,,0.29,0.04,77.62,759.37,2024-02-01 05:30:00,4.7,0.01,0.25,1.16,0.43
43.45,85.02,2.55,8.22,18.48,0.59,6.43,12.53,24.74,,0.32,0.04,80.95,760.09,2024-02-01 05:45:00,4.8,0.02,0.24,1.15,0.43
43.45,85.02,2.59,8.52,19.06,0.66,6.62,12.24,24.62,,0.37,0.04,69.99,760.66,2024-02-01 06:00:00,4.99,0.02,0.24,1.15,0.43
43.45,85.02,2.75,9.17,19.56,0.75,7.1,10.48,24.5,,0.36,0.04,73.75,761.81,2024-02-01 06:15:00,5.18,0.01,0.24,1.15,0.43
43.2,84.54,5.02,9.6,19.88,0.98,9.17,6.99,24.45,,0.28,0.04,74.91,762.16,2024-02-01 06:30:00,5.25,0.01,0.24,1.15,0.43
37.89,74.16,5.46,10.04,20.76,1.09,9.77,6.64,24.51,,0.34,0.04,79.8,763.16,2024-02-01 06:45:00,5.37,0.01,0.24,1.15,0.43
37.89,74.16,5.89,9.81,21.42,1.1,10.0,5.72,24.49,,0.37,0.04,32.18,764.06,2024-02-01 07:00:00,5.48,0.01,0.24,1.15,0.43
37.89,74.16,7.51,7.86,22.15,1.0,10.28,3.58,24.5,,0.33,0.04,8.81,765.0,2024-02-01 07:15:00,5.4,0.02,0.25,1.17,0.43
37.85,74.08,7.35,6.28,23.27,1.0,9.3,2.21,24.84,,0.27,0.04,95.1,765.63,2024-02-01 07:30:00,5.67,0.01,0.24,1.17,0.43
37.0,72.41,6.1,6.79,24.51,0.94,8.56,3.87,25.23,,0.27,0.04,72.9,766.06,2024-02-01 07:45:00,5.91,0.01,0.23,1.15,0.41
37.0,72.41,4.44,7.75,25.85,0.83,7.72,11.61,25.34,,0.17,0.04,71.86,766.64,2024-02-01 08:00:00,5.63,0.01,0.12,0.89,0.22
37.0,72.41,4.35,6.93,27.71,0.75,7.21,11.9,25.39,,0.26,0.04,57.06,767.51,2024-02-01 08:15:00,5.58,0.01,0.12,0.87,0.22
42.41,83.0,6.2,5.23,29.41,0.68,7.81,13.23,25.68,,0.3,0.04,29.5,768.56,2024-02-01 08:30:00,6.72,0.01,0.12,0.87,0.22
158.76,310.68,4.21,6.23,30.62,0.66,6.72,13.94,26.0,,0.24,0.04,80.08,769.41,2024-02-01 08:45:00,6.66,0.01,0.13,0.92,0.23
158.76,310.68,4.11,6.12,30.95,0.58,6.59,13.88,26.17,,0.2,0.04,32.3,770.28,2024-02-01 09:00:00,5.9,0.01,0.12,0.98,0.23
158.76,310.68,3.87,6.15,31.1,0.63,6.4,15.35,26.67,97.19,0.23,0.04,69.79,770.64,2024-02-01 09:15:00,5.41,0.02,0.12,0.97,0.21
151.7,296.87,3.57,6.43,31.39,0.65,6.31,8.21,27.53,92.35,0.3,0.04,44.44,770.39,2024-02-01 09:30:00,5.28,0.01,0.12,0.96,0.22
,,2.66,6.83,30.64,0.55,5.78,9.04,28.19,88.84,0.17,0.04,92.82,770.31,2024-02-01 09:45:00,6.02,0.02,0.12,0.94,0.22
,,2.44,6.47,30.03,0.5,5.42,10.59,28.07,89.41,0.34,0.04,144.72,769.99,2024-02-01 10:00:00,6.68,0.01,0.12,0.91,0.22
,,2.33,6.34,28.75,0.46,5.26,11.37,28.1,89.43,0.23,0.04,129.13,769.76,2024-02-01 10:15:00,6.66,0.0,0.12,0.87,0.22
,0.01,2.29,6.36,27.83,0.44,5.23,13.07,28.29,87.6,0.34,0.04,148.94,769.0,2024-02-01 10:30:00,6.28,0.01,0.12,0.85,0.22
0.1,0.2,2.31,6.35,27.48,0.41,5.24,12.25,28.81,83.85,0.4,0.04,150.23,768.79,2024-02-01 10:45:00,6.15,0.01,0.12,0.83,0.22
0.1,0.2,2.27,6.32,27.59,0.41,5.2,12.81,29.46,80.35,0.26,0.04,116.45,767.57,2024-02-01 11:00:00,6.0,0.01,0.12,0.8,0.22
3.03,5.12,2.25,6.33,26.98,0.38,5.19,15.13,30.01,75.24,0.3,0.04,148.07,766.42,2024-02-01 11:15:00,6.01,0.01,0.12,0.81,0.22
30.19,51.29,2.26,6.38,27.79,0.38,5.22,17.3,29.96,74.17,0.33,0.04,160.87,765.66,2024-02-01 11:30:00,6.12,0.01,0.12,0.81,0.23
75.18,139.33,2.31,7.19,28.41,0.39,5.69,19.7,29.96,74.05,0.39,0.04,155.13,765.01,2024-02-01 11:45:00,6.1,0.01,0.13,0.82,0.23
75.18,139.33,2.19,6.79,28.4,0.35,5.38,20.02,29.84,73.84,0.35,0.04,148.88,764.3,2024-02-01 12:00:00,6.47,0.02,0.21,0.97,0.38
75.18,139.33,2.17,6.23,29.25,0.35,5.06,21.12,30.18,72.22,0.26,0.04,165.85,762.42,2024-02-01 12:15:00,6.52,0.01,0.24,1.0,0.43
73.25,135.55,2.13,6.31,29.41,0.34,5.08,23.79,30.22,70.64,0.29,0.04,126.7,761.23,2024-02-01 12:30:00,6.99,0.04,0.24,1.04,0.43
31.7,54.24,2.2,6.44,30.15,0.4,5.2,30.29,30.65,68.76,0.28,0.04,196.52,760.06,2024-02-01 12:45:00,8.6,0.02,0.25,1.03,0.44
31.7,54.24,2.4,5.99,30.12,0.36,5.13,36.91,30.64,67.85,0.28,0.04,160.38,759.0,2024-02-01 13:00:00,9.75,0.12,0.26,1.02,0.45
31.7,54.24,2.27,6.07,29.26,0.32,5.06,20.33,30.59,65.47,0.33,0.04,165.85,758.16,2024-02-01 13:15:00,9.74,0.12,0.26,1.12,0.46
31.55,53.95,2.39,6.17,28.64,0.32,5.21,,31.26,63.53,0.31,0.04,166.39,756.73,2024-02-01 13:30:00,8.64,,,,
28.3,47.58,2.31,6.1,27.95,0.31,5.11,,30.8,65.06,0.39,0.04,143.08,755.61,2024-02-01 13:45:00,7.73,,,,
28.3,47.58,2.26,5.82,26.87,0.3,4.92,,30.93,64.35,0.43,0.04,148.5,754.93,2024-02-01 14:00:00,7.91,,,,
28.3,47.58,2.29,5.66,26.14,0.29,4.86,,30.74,65.57,0.44,0.04,156.9,754.07,2024-02-01 14:15:00,8.1,,,,
28.45,47.88,2.26,5.7,25.51,0.31,4.85,20.82,30.64,66.85,0.37,0.04,145.17,753.33,2024-02-01 14:30:00,8.26,0.12,0.24,1.06,0.42
32.87,56.54,2.23,5.77,24.8,0.3,4.87,21.28,30.55,67.84,0.4,0.04,152.55,752.77,2024-02-01 14:45:00,8.17,0.12,0.17,0.99,0.31
32.87,56.54,2.22,5.74,24.23,0.29,4.85,20.14,30.38,69.09,0.41,0.04,155.41,751.48,2024-02-01 15:00:00,8.26,0.12,,0.58,0.01
32.87,56.54,2.26,5.64,23.8,0.29,4.83,30.99,30.5,68.45,0.43,0.04,157.02,751.0,2024-02-01 15:15:00,8.04,0.12,,0.49,
32.78,56.35,2.25,5.63,23.28,0.28,4.81,18.77,30.32,71.01,0.39,0.04,139.59,751.0,2024-02-01 15:30:00,8.36,0.12,,0.5,
30.08,51.07,2.23,5.63,23.0,0.29,4.8,17.77,30.24,71.44,0.38,0.04,138.66,751.02,2024-02-01 15:45:00,8.94,0.12,0.01,0.3,0.01
30.08,51.07,2.22,5.72,23.21,0.3,4.84,19.8,30.25,71.78,0.34,0.04,130.99,751.0,2024-02-01 16:00:00,9.21,0.12,0.01,0.54,0.01
30.08,51.07,2.21,5.83,22.92,0.33,4.88,15.71,30.4,71.98,0.43,0.04,151.64,751.21,2024-02-01 16:15:00,9.03,0.12,0.01,0.56,0.01
31.51,53.86,2.23,5.8,23.07,0.3,4.88,19.82,30.11,73.23,0.43,0.04,152.41,751.99,2024-02-01 16:30:00,8.6,0.12,0.01,0.57,0.01
72.93,134.92,2.25,5.84,22.67,0.3,4.93,25.19,29.99,73.68,0.42,0.04,153.25,752.98,2024-02-01 16:45:00,8.42,0.12,0.01,0.54,0.01
72.93,134.92,2.22,6.57,23.51,0.36,5.28,21.47,29.88,75.32,0.41,0.04,153.36,753.01,2024-02-01 17:00:00,9.24,0.11,0.01,0.38,0.01
60.06,107.76,2.24,6.77,23.94,0.37,5.41,14.13,29.61,77.07,0.42,0.04,156.52,753.03,2024-02-01 17:15:00,11.13,0.11,0.01,0.2,0.01
55.67,98.95,2.34,6.59,22.67,0.34,5.39,13.05,29.44,78.5,0.43,0.04,153.62,753.59,2024-02-01 17:30:00,12.65,0.12,0.02,0.27,0.01
19.19,34.69,2.33,6.76,22.27,0.35,5.48,12.59,29.13,80.44,0.43,0.04,155.87,754.0,2024-02-01 17:45:00,10.74,0.12,0.01,0.45,0.01
19.19,34.69,2.32,6.87,21.88,0.36,5.53,11.69,28.9,82.54,0.43,0.04,153.31,754.18,2024-02-01 18:00:00,9.28,0.12,0.01,0.59,0.01
19.19,34.69,2.4,7.51,22.02,0.49,5.93,11.39,28.71,84.13,0.42,0.04,152.03,754.97,2024-02-01 18:15:00,8.77,0.12,0.02,0.62,0.01
20.88,37.66,2.75,8.57,22.36,0.64,6.78,15.24,28.43,86.06,0.41,0.04,150.5,755.08,2024-02-01 18:30:00,8.29,0.12,0.04,0.6,0.02
57.14,101.52,3.26,9.09,22.63,0.63,7.47,13.92,28.11,89.87,0.4,0.04,148.34,755.94,2024-02-01 18:45:00,7.24,0.12,0.04,0.5,0.01
57.14,101.52,3.06,8.59,22.43,0.64,7.05,13.63,27.86,91.6,0.39,0.04,155.14,756.32,2024-02-01 19:00:00,7.34,0.12,0.04,0.31,0.01
57.14,101.52,3.16,8.52,22.28,0.71,7.08,13.36,27.67,93.03,0.39,0.04,150.97,757.29,2024-02-01 19:15:00,8.05,0.12,0.02,0.24,0.01
62.02,110.13,4.02,8.77,22.7,0.86,7.93,12.84,27.48,93.89,0.37,0.04,141.71,758.0,2024-02-01 19:30:00,8.52,0.12,0.02,0.23,0.01
167.03,295.08,4.46,8.63,22.85,0.85,8.2,11.44,27.35,94.91,0.35,0.04,145.24,758.33,2024-02-01 19:45:00,8.32,0.12,0.01,0.23,0.01
163.01,287.91,3.92,8.36,23.32,0.87,7.63,10.08,27.26,95.58,0.38,0.04,146.57,759.19,2024-02-01 20:00:00,8.33,0.11,0.01,0.23,0.01
28.0,49.0,3.47,7.64,24.27,0.8,6.87,9.2,27.06,96.47,0.32,0.04,111.91,759.67,2024-02-01 20:15:00,8.17,0.11,0.01,0.25,0.01
28.0,49.0,3.76,8.15,25.05,0.9,7.38,10.32,26.93,97.26,0.31,0.04,94.96,760.12,2024-02-01 20:30:00,7.79,0.12,,0.33,0.01
28.0,49.0,4.5,7.42,26.21,0.84,7.6,9.82,26.84,97.51,0.35,0.04,62.11,760.96,2024-02-01 20:45:00,7.6,0.12,,0.4,0.01
31.64,55.41,3.7,7.63,26.74,0.59,7.06,9.35,26.57,98.84,0.36,0.04,34.12,761.11,2024-02-01 21:00:00,7.46,0.12,,0.23,0.01
109.92,193.27,4.43,7.57,27.84,0.68,7.62,8.79,26.47,99.29,0.37,0.04,49.47,761.2,2024-02-01 21:15:00,7.44,0.12,,0.23,
109.92,193.27,4.13,8.66,28.85,0.64,7.96,8.94,26.43,,0.37,0.04,59.82,761.64,2024-02-01 21:30:00,8.05,0.12,,0.22,
109.92,193.27,3.43,8.48,29.2,0.52,7.28,9.55,26.45,99.76,0.3,0.04,49.53,762.0,2024-02-01 21:45:00,8.64,0.12,,0.24,
109.11,191.85,3.42,9.5,28.68,0.52,7.82,8.31,26.39,,0.26,0.04,34.52,762.0,2024-02-01 22:00:00,8.53,0.12,,0.25,
91.73,161.24,3.14,8.4,28.12,0.48,7.01,9.25,26.35,,0.32,0.04,72.9,762.0,2024-02-01 22:15:00,7.47,0.11,,0.23,
91.73,161.24,3.22,7.86,27.55,0.5,6.79,9.61,26.37,,0.22,0.04,56.87,762.0,2024-02-01 22:30:00,6.69,0.12,,0.23,
91.73,161.24,2.99,8.88,27.18,0.55,7.14,8.72,26.29,,0.3,0.04,31.55,762.0,2024-02-01 22:45:00,6.49,0.12,,0.24,
91.49,160.83,2.72,9.57,25.88,0.48,7.29,7.95,26.18,,0.37,0.04,41.52,762.0,2024-02-01 23:00:00,6.61,0.12,,0.22,
86.42,151.89,2.69,9.46,24.97,0.52,7.21,7.36,26.12,,0.33,0.04,86.74,761.96,2024-02-01 23:15:00,6.58,0.11,,0.22,
86.42,151.89,2.92,9.76,24.26,0.53,7.55,6.69,26.21,,0.33,0.04,34.97,761.27,2024-02-01 23:30:00,6.59,0.11,,0.21,
86.42,151.89,2.76,9.35,23.23,0.5,7.2,6.84,26.19,,0.29,0.04,69.14,760.82,2024-02-01 23:45:00,6.58,0.11,,0.23,
86.14,151.4,2.81,7.87,15.48,0.45,6.46,7.74,26.13,,0.34,0.04,53.94,760.69,2024-02-02 00:00:00,6.71,0.11,,0.23,
80.13,140.82,2.72,8.07,13.3,0.41,6.5,7.82,26.01,,0.35,0.04,89.51,760.87,2024-02-02 00:15:00,6.39,0.11,,0.23,
80.13,140.82,2.62,7.86,12.59,0.43,6.3,8.22,26.05,,0.36,0.04,80.51,760.79,2024-02-02 00:30:00,6.32,0.12,,0.23,
80.13,140.82,2.69,7.67,12.02,0.42,6.26,8.18,26.07,,0.38,0.04,54.42,760.18,2024-02-02 00:45:00,6.32,0.12,,0.22,
79.93,140.46,2.7,7.92,11.89,0.42,6.4,8.35,26.13,,0.3,0.04,114.28,759.88,2024-02-02 01:00:00,6.29,0.12,,0.22,
